dataset,encoding,dim_reduction,model,accuracy
journal_jcr_cls,skrub__minhash_10,passthrough,LogisticRegression,0.5355
journal_jcr_cls,skrub__minhash_10,passthrough,LogisticRegression,0.5475
journal_jcr_cls,skrub__minhash_10,passthrough,LogisticRegression,0.5455
journal_jcr_cls,skrub__minhash_10,passthrough,LogisticRegression,0.54525
journal_jcr_cls,skrub__minhash_10,passthrough,LogisticRegression,0.5385
journal_jcr_cls,skrub__minhash_30,passthrough,LogisticRegression,0.561
journal_jcr_cls,skrub__minhash_30,passthrough,LogisticRegression,0.54375
journal_jcr_cls,skrub__minhash_30,passthrough,LogisticRegression,0.55
journal_jcr_cls,skrub__minhash_30,passthrough,LogisticRegression,0.5335
journal_jcr_cls,skrub__minhash_30,passthrough,LogisticRegression,0.545
journal_jcr_cls,lm__all-MiniLM-L12-v2,PCA_10,LogisticRegression,0.55
journal_jcr_cls,lm__all-MiniLM-L12-v2,PCA_10,LogisticRegression,0.56375
journal_jcr_cls,lm__all-MiniLM-L12-v2,PCA_10,LogisticRegression,0.5685
journal_jcr_cls,lm__all-MiniLM-L12-v2,PCA_10,LogisticRegression,0.56125
journal_jcr_cls,lm__all-MiniLM-L12-v2,PCA_10,LogisticRegression,0.55175
journal_jcr_cls,lm__all-MiniLM-L12-v2,PCA_10,GradientBoostingClassifier,0.55975
journal_jcr_cls,lm__all-MiniLM-L12-v2,PCA_10,GradientBoostingClassifier,0.5715
journal_jcr_cls,lm__all-MiniLM-L12-v2,PCA_10,GradientBoostingClassifier,0.561
journal_jcr_cls,lm__all-MiniLM-L12-v2,PCA_10,GradientBoostingClassifier,0.54275
journal_jcr_cls,lm__all-MiniLM-L12-v2,PCA_10,GradientBoostingClassifier,0.5655
journal_jcr_cls,lm__all-MiniLM-L12-v2,PCA_10,TabPFNClassifier,0.564
journal_jcr_cls,lm__all-MiniLM-L12-v2,PCA_10,TabPFNClassifier,0.57675
journal_jcr_cls,lm__all-MiniLM-L12-v2,PCA_10,TabPFNClassifier,0.57275
journal_jcr_cls,lm__all-MiniLM-L12-v2,PCA_10,TabPFNClassifier,0.569
journal_jcr_cls,lm__all-MiniLM-L12-v2,PCA_10,TabPFNClassifier,0.569
journal_jcr_cls,lm__all-MiniLM-L12-v2,PCA_30,LogisticRegression,0.562
journal_jcr_cls,lm__all-MiniLM-L12-v2,PCA_30,LogisticRegression,0.55575
journal_jcr_cls,lm__all-MiniLM-L12-v2,PCA_30,LogisticRegression,0.5545
journal_jcr_cls,lm__all-MiniLM-L12-v2,PCA_30,LogisticRegression,0.557
journal_jcr_cls,lm__all-MiniLM-L12-v2,PCA_30,LogisticRegression,0.5745
journal_jcr_cls,lm__all-MiniLM-L12-v2,PCA_30,GradientBoostingClassifier,0.5465
journal_jcr_cls,lm__all-MiniLM-L12-v2,PCA_30,GradientBoostingClassifier,0.57375
journal_jcr_cls,lm__all-MiniLM-L12-v2,PCA_30,GradientBoostingClassifier,0.54
journal_jcr_cls,lm__all-MiniLM-L12-v2,PCA_30,GradientBoostingClassifier,0.5515
journal_jcr_cls,lm__all-MiniLM-L12-v2,PCA_30,GradientBoostingClassifier,0.55425
journal_jcr_cls,lm__all-MiniLM-L12-v2,PCA_30,TabPFNClassifier,0.58275
journal_jcr_cls,lm__all-MiniLM-L12-v2,PCA_30,TabPFNClassifier,0.548
journal_jcr_cls,lm__all-MiniLM-L12-v2,PCA_30,TabPFNClassifier,0.577
journal_jcr_cls,lm__all-MiniLM-L12-v2,PCA_30,TabPFNClassifier,0.55675
journal_jcr_cls,lm__all-MiniLM-L12-v2,PCA_30,TabPFNClassifier,0.55475
journal_jcr_cls,lm__all-MiniLM-L12-v2,subset_10,LogisticRegression,0.546
journal_jcr_cls,lm__all-MiniLM-L12-v2,subset_10,LogisticRegression,0.55575
journal_jcr_cls,lm__all-MiniLM-L12-v2,subset_10,LogisticRegression,0.55725
journal_jcr_cls,lm__all-MiniLM-L12-v2,subset_10,LogisticRegression,0.54725
journal_jcr_cls,lm__all-MiniLM-L12-v2,subset_10,LogisticRegression,0.5605
journal_jcr_cls,lm__all-MiniLM-L12-v2,subset_10,GradientBoostingClassifier,0.5345
journal_jcr_cls,lm__all-MiniLM-L12-v2,subset_10,GradientBoostingClassifier,0.544
journal_jcr_cls,lm__all-MiniLM-L12-v2,subset_10,GradientBoostingClassifier,0.5525
journal_jcr_cls,lm__all-MiniLM-L12-v2,subset_10,GradientBoostingClassifier,0.54525
journal_jcr_cls,lm__all-MiniLM-L12-v2,subset_10,GradientBoostingClassifier,0.54375
journal_jcr_cls,lm__all-MiniLM-L12-v2,subset_10,TabPFNClassifier,0.56025
journal_jcr_cls,lm__all-MiniLM-L12-v2,subset_10,TabPFNClassifier,0.5405
journal_jcr_cls,lm__all-MiniLM-L12-v2,subset_10,TabPFNClassifier,0.54725
journal_jcr_cls,lm__all-MiniLM-L12-v2,subset_10,TabPFNClassifier,0.57725
journal_jcr_cls,lm__all-MiniLM-L12-v2,subset_10,TabPFNClassifier,0.5445
journal_jcr_cls,lm__all-MiniLM-L12-v2,subset_30,LogisticRegression,0.58475
journal_jcr_cls,lm__all-MiniLM-L12-v2,subset_30,LogisticRegression,0.56125
journal_jcr_cls,lm__all-MiniLM-L12-v2,subset_30,LogisticRegression,0.56475
journal_jcr_cls,lm__all-MiniLM-L12-v2,subset_30,LogisticRegression,0.57675
journal_jcr_cls,lm__all-MiniLM-L12-v2,subset_30,LogisticRegression,0.58025
journal_jcr_cls,lm__all-MiniLM-L12-v2,subset_30,GradientBoostingClassifier,0.54975
journal_jcr_cls,lm__all-MiniLM-L12-v2,subset_30,GradientBoostingClassifier,0.5555
journal_jcr_cls,lm__all-MiniLM-L12-v2,subset_30,GradientBoostingClassifier,0.557
journal_jcr_cls,lm__all-MiniLM-L12-v2,subset_30,GradientBoostingClassifier,0.553
journal_jcr_cls,lm__all-MiniLM-L12-v2,subset_30,GradientBoostingClassifier,0.56375
journal_jcr_cls,lm__all-MiniLM-L12-v2,subset_30,TabPFNClassifier,0.5445
journal_jcr_cls,lm__all-MiniLM-L12-v2,subset_30,TabPFNClassifier,0.588
journal_jcr_cls,lm__all-MiniLM-L12-v2,subset_30,TabPFNClassifier,0.58375
journal_jcr_cls,lm__all-MiniLM-L12-v2,subset_30,TabPFNClassifier,0.5625
journal_jcr_cls,lm__all-MiniLM-L12-v2,subset_30,TabPFNClassifier,0.57525
journal_jcr_cls,lm__all-MiniLM-L12-v2,subset_biggest_10,LogisticRegression,0.5185
journal_jcr_cls,lm__all-MiniLM-L12-v2,subset_biggest_10,LogisticRegression,0.54125
journal_jcr_cls,lm__all-MiniLM-L12-v2,subset_biggest_10,LogisticRegression,0.5495
journal_jcr_cls,lm__all-MiniLM-L12-v2,subset_biggest_10,LogisticRegression,0.53525
journal_jcr_cls,lm__all-MiniLM-L12-v2,subset_biggest_10,LogisticRegression,0.5255
journal_jcr_cls,lm__all-MiniLM-L12-v2,subset_biggest_10,GradientBoostingClassifier,0.5195
journal_jcr_cls,lm__all-MiniLM-L12-v2,subset_biggest_10,GradientBoostingClassifier,0.479
journal_jcr_cls,lm__all-MiniLM-L12-v2,subset_biggest_10,GradientBoostingClassifier,0.52475
journal_jcr_cls,lm__all-MiniLM-L12-v2,subset_biggest_10,GradientBoostingClassifier,0.4705
journal_jcr_cls,lm__all-MiniLM-L12-v2,subset_biggest_10,GradientBoostingClassifier,0.53675
journal_jcr_cls,lm__all-MiniLM-L12-v2,subset_biggest_10,TabPFNClassifier,0.54375
journal_jcr_cls,lm__all-MiniLM-L12-v2,subset_biggest_10,TabPFNClassifier,0.55275
journal_jcr_cls,lm__all-MiniLM-L12-v2,subset_biggest_10,TabPFNClassifier,0.55
journal_jcr_cls,lm__all-MiniLM-L12-v2,subset_biggest_10,TabPFNClassifier,0.5425
journal_jcr_cls,lm__all-MiniLM-L12-v2,subset_biggest_10,TabPFNClassifier,0.5545
journal_jcr_cls,lm__all-MiniLM-L12-v2,subset_biggest_30,LogisticRegression,0.548
journal_jcr_cls,lm__all-MiniLM-L12-v2,subset_biggest_30,LogisticRegression,0.54275
journal_jcr_cls,lm__all-MiniLM-L12-v2,subset_biggest_30,LogisticRegression,0.535
journal_jcr_cls,lm__all-MiniLM-L12-v2,subset_biggest_30,LogisticRegression,0.53225
journal_jcr_cls,lm__all-MiniLM-L12-v2,subset_biggest_30,LogisticRegression,0.54075
journal_jcr_cls,lm__all-MiniLM-L12-v2,subset_biggest_30,GradientBoostingClassifier,0.48425
journal_jcr_cls,lm__all-MiniLM-L12-v2,subset_biggest_30,GradientBoostingClassifier,0.4845
journal_jcr_cls,lm__all-MiniLM-L12-v2,subset_biggest_30,GradientBoostingClassifier,0.50725
journal_jcr_cls,lm__all-MiniLM-L12-v2,subset_biggest_30,GradientBoostingClassifier,0.5235
journal_jcr_cls,lm__all-MiniLM-L12-v2,subset_biggest_30,GradientBoostingClassifier,0.5075
journal_jcr_cls,lm__all-MiniLM-L12-v2,subset_biggest_30,TabPFNClassifier,0.551
journal_jcr_cls,lm__all-MiniLM-L12-v2,subset_biggest_30,TabPFNClassifier,0.5455
journal_jcr_cls,lm__all-MiniLM-L12-v2,subset_biggest_30,TabPFNClassifier,0.55225
journal_jcr_cls,lm__all-MiniLM-L12-v2,subset_biggest_30,TabPFNClassifier,0.549
journal_jcr_cls,lm__all-MiniLM-L12-v2,subset_biggest_30,TabPFNClassifier,0.54475
journal_jcr_cls,lm__all-MiniLM-L12-v2,passthrough,LogisticRegression,0.603
journal_jcr_cls,lm__all-MiniLM-L12-v2,passthrough,LogisticRegression,0.6105
journal_jcr_cls,lm__all-MiniLM-L12-v2,passthrough,LogisticRegression,0.60575
journal_jcr_cls,lm__all-MiniLM-L12-v2,passthrough,LogisticRegression,0.615
journal_jcr_cls,lm__all-MiniLM-L12-v2,passthrough,LogisticRegression,0.6145
journal_jcr_cls,lm__whaleloops/phrase-bert,PCA_10,LogisticRegression,0.571
journal_jcr_cls,lm__whaleloops/phrase-bert,PCA_10,LogisticRegression,0.584
journal_jcr_cls,lm__whaleloops/phrase-bert,PCA_10,LogisticRegression,0.5795
journal_jcr_cls,lm__whaleloops/phrase-bert,PCA_10,LogisticRegression,0.58
journal_jcr_cls,lm__whaleloops/phrase-bert,PCA_10,LogisticRegression,0.58475
journal_jcr_cls,lm__whaleloops/phrase-bert,PCA_10,GradientBoostingClassifier,0.56275
journal_jcr_cls,lm__whaleloops/phrase-bert,PCA_10,GradientBoostingClassifier,0.55925
journal_jcr_cls,lm__whaleloops/phrase-bert,PCA_10,GradientBoostingClassifier,0.575
journal_jcr_cls,lm__whaleloops/phrase-bert,PCA_10,GradientBoostingClassifier,0.55375
journal_jcr_cls,lm__whaleloops/phrase-bert,PCA_10,GradientBoostingClassifier,0.57375
journal_jcr_cls,lm__whaleloops/phrase-bert,PCA_10,TabPFNClassifier,0.5885
journal_jcr_cls,lm__whaleloops/phrase-bert,PCA_10,TabPFNClassifier,0.593
journal_jcr_cls,lm__whaleloops/phrase-bert,PCA_10,TabPFNClassifier,0.592
journal_jcr_cls,lm__whaleloops/phrase-bert,PCA_10,TabPFNClassifier,0.59475
journal_jcr_cls,lm__whaleloops/phrase-bert,PCA_10,TabPFNClassifier,0.59225
journal_jcr_cls,lm__whaleloops/phrase-bert,PCA_30,LogisticRegression,0.57975
journal_jcr_cls,lm__whaleloops/phrase-bert,PCA_30,LogisticRegression,0.58125
journal_jcr_cls,lm__whaleloops/phrase-bert,PCA_30,LogisticRegression,0.58125
journal_jcr_cls,lm__whaleloops/phrase-bert,PCA_30,LogisticRegression,0.58475
journal_jcr_cls,lm__whaleloops/phrase-bert,PCA_30,LogisticRegression,0.57575
journal_jcr_cls,lm__whaleloops/phrase-bert,PCA_30,GradientBoostingClassifier,0.565
journal_jcr_cls,lm__whaleloops/phrase-bert,PCA_30,GradientBoostingClassifier,0.56725
journal_jcr_cls,lm__whaleloops/phrase-bert,PCA_30,GradientBoostingClassifier,0.56775
journal_jcr_cls,lm__whaleloops/phrase-bert,PCA_30,GradientBoostingClassifier,0.57125
